module_id	module_name	complex	definition
M00144	NADH:quinone oxidoreductase, prokaryotes	Complex I	K00330+(K00331+K00332+K00333,K00331+K13378,K13380)+K00334+K00335+K00336+K00337+K00338+K00339+K00340+(K00341+K00342,K15863)+K00343
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	Complex I	K05574+K05582+K05581+K05579+K05572+K05580+K05578+K05576+K05577+K05575+K05573-K05583-K05584-K05585
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Complex I	K03945+K03946+K03947+K03948+K03949+K03950+K03951+K03952+K03953+K03954+K03955+K03956+K11352+K11353
M00148	Succinate dehydrogenase (ubiquinone)	Complex II	K00236+K00237+K00234+K00235
M00149	Succinate dehydrogenase, prokaryotes	Complex II	K00241+K00242+K00239+K00240
M00150	Fumarate reductase, prokaryotes	Complex II	K00244+K00245+K00246+K00247
M00151	Cytochrome bc1 complex respiratory unit	Complex III	((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889
M00152	Cytochrome bc1 complex	Complex III	(K00412+K00413,K00410)+K00411+K00414+K00415+K00416+K00417+K00418+K00419+K00420
M00153	Cytochrome bd ubiquinol oxidase	Complex III	K00425+K00426+(K00424,K22501)
M00153	Cytochrome bd ubiquinol oxidase	Complex IV High affinity	K00425+K00426+(K00424,K22501)
M00156	Cytochrome c oxidase, cbb3-type	Complex IV High affinity	((K00404+K00405,K15862)+K00407+K00406)
M00154	Cytochrome c oxidase	Complex IV Low affinity	(K02257+K02262+K02256+K02261+K02263+K02264+K02265+K02266+K02267+K02268+(K02269,K02270-K02271)+K02272-K02273+K02258+K02259+K02260)
M00155	Cytochrome c oxidase, prokaryotes	Complex IV Low affinity	K02275+(K02274+K02276,K15408)-K02277
M00416	Cytochrome aa3-600 menaquinol oxidase	Complex IV Low affinity	K02827+K02826+K02828+K02829
M00417	Cytochrome o ubiquinol oxidase	Complex IV Low affinity	K02297+K02298+K02299+K02300
M00157	F-type ATPase, prokaryotes and chloroplasts	Complex V	K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110
M00158	F-type ATPase, eukaryotes	Complex V	K02132+K02133+K02136+K02134+K02135+K02137+K02126+K02127+K02128+K02138+(K02129,K01549)+(K02130,K02139)+K02140+(K02141,K02131)-K02142-K02143+K02125
M00159	V/A-type ATPase, prokaryotes	Complex V	K02117+K02118+K02119+K02120+K02121+K02122+K02107+K02123+K02124
M00160	V-type ATPase, eukaryotes	Complex V	K02145+K02147+K02148+K02149+K02150+K02151+K02152+K02144+K02154+(K03661,K02155)+K02146+K02153+K03662
